# Data from Rio Frio Campaign, Portugal 2002,,,
# Turbulence measurements over a cork oak plantation,,,,
# Level T9 / DOY 193 2003, 13:00 - 14:00 Local Time,,,
"# ""Time(s)""",U_Wind(ms-1),V_Wind(ms-1),W_wind(ms-1),Temperature(degC)
276.95,1.49,-1.07,-0.39,29.05
277,1.39,-1.11,-0.26,29.02
277.05,1.45,-1.21,-0.03,28.95
277.1,1.58,-1.18,-0.12,29.06
277.15,1.61,-1.21,-0.23,29.1
277.2,1.56,-1.2,-0.22,29.09
277.25,1.5,-1.24,-0.24,29.09
277.3,1.41,-1.24,-0.24,29.06
277.35,1.56,-1.12,-0.15,29.09
277.4,1.72,-1.17,-0.18,29.15
277.45,1.73,-1.4,-0.15,29.14
277.5,1.79,-1.31,-0.18,29.17
277.55,1.86,-1.1,-0.08,29.28
277.6,1.82,-1.09,-0.12,29.27
277.65,1.82,-1.04,-0.01,29.3
277.7,1.74,-1.05,-0.04,29.28
277.75,1.62,-1.14,-0.09,29.23
277.8,1.65,-1.21,-0.23,29.16
277.85,1.68,-1.22,-0.16,29.15
277.9,1.66,-1.18,-0.06,29.17
277.95,1.67,-1.24,-0.09,29.13
278,1.61,-1.4,-0.19,29.12
278.05,1.64,-1.45,-0.2,29.06
278.1,1.66,-1.41,-0.24,29.03
278.15,1.52,-1.36,-0.37,28.99
278.2,1.43,-1.44,-0.49,28.97
278.25,1.53,-1.34,-0.36,29.01
278.3,1.48,-1.28,-0.31,29.01
278.35,1.49,-1.3,-0.31,29.03
278.4,1.56,-1.42,-0.33,29.01
278.45,1.57,-1.51,-0.34,29.02
278.5,1.48,-1.59,-0.35,28.98
278.55,1.36,-1.57,-0.54,28.94
278.6,1.37,-1.45,-0.6,28.92
278.65,1.38,-1.53,-0.42,28.93
278.7,1.5,-1.49,-0.39,28.98
278.75,1.67,-1.54,-0.25,29.02
278.8,1.57,-1.57,-0.11,29
278.85,1.63,-1.59,-0.08,29.15
278.9,1.59,-1.64,-0.07,29.18
278.95,1.71,-1.56,-0.14,29.11
279,1.73,-1.49,-0.19,29.05
279.05,1.79,-1.39,-0.29,29.03
279.1,1.88,-1.38,-0.39,29.03
279.15,1.77,-1.3,-0.35,29.02
279.2,1.8,-1.31,-0.37,29.01
279.25,1.84,-1.31,-0.38,29.01
279.3,1.77,-1.39,-0.44,29.02
279.35,1.76,-1.49,-0.48,29.02
279.4,1.86,-1.51,-0.54,29.06
279.45,1.81,-1.5,-0.51,29.03
279.5,1.76,-1.43,-0.47,29.03
279.55,1.8,-1.48,-0.47,29.08
279.6,1.86,-1.46,-0.45,29.15
279.65,1.88,-1.45,-0.53,29.22
279.7,1.82,-1.59,-0.67,29.22
279.75,1.85,-1.64,-0.67,29.23
279.8,1.78,-1.53,-0.72,29.2
279.85,1.84,-1.56,-0.67,29.28
279.9,1.84,-1.5,-0.63,29.43
279.95,1.75,-1.41,-0.62,29.51
280,1.76,-1.3,-0.55,29.51
280.05,1.78,-1.25,-0.36,29.59
280.1,1.8,-1.27,-0.31,29.73
280.15,1.87,-1.34,-0.34,29.85
280.2,1.89,-1.31,-0.31,29.86
280.25,1.8,-1.33,-0.31,29.83
280.3,1.67,-1.36,-0.24,29.83
280.35,1.7,-1.39,-0.19,29.84
280.4,1.61,-1.31,-0.1,29.83
280.45,1.58,-1.31,0,29.81
280.5,1.59,-1.16,0.17,29.71
280.55,1.6,-1.06,0.07,29.7
280.6,1.61,-0.95,0.04,29.73
280.65,1.67,-0.95,0,29.81
280.7,1.71,-0.88,0.03,29.77
280.75,1.65,-0.9,0.12,29.57
280.8,1.66,-0.9,0.14,29.59
280.85,1.59,-0.92,0.16,29.57
280.9,1.54,-0.95,0.11,29.59
280.95,1.52,-0.88,0.08,29.72
281,1.55,-0.89,0.08,29.76
281.05,1.47,-0.95,0.01,29.7
281.1,1.43,-1.02,-0.05,29.77
281.15,1.43,-1,0,29.77
281.2,1.36,-0.93,0.01,29.83
281.25,1.37,-0.98,-0.03,29.88
281.3,1.36,-0.92,-0.06,29.92
281.35,1.33,-0.89,-0.09,29.92
281.4,1.33,-0.89,-0.17,29.94
281.45,1.34,-0.81,-0.21,29.97
281.5,1.3,-0.79,-0.17,29.94
281.55,1.23,-0.8,-0.16,29.92
281.6,1.27,-0.77,-0.26,29.96
281.65,1.29,-0.73,-0.23,29.92
281.7,1.26,-0.77,-0.19,29.94
281.75,1.24,-0.73,-0.12,29.97
281.8,1.27,-0.71,-0.19,29.98
281.85,1.35,-0.62,-0.23,29.92
281.9,1.41,-0.6,-0.21,29.91
281.95,1.37,-0.56,-0.17,29.87
282,1.37,-0.62,-0.2,29.75
282.05,1.37,-0.61,-0.17,29.72
282.1,1.36,-0.68,-0.24,29.61
282.15,1.36,-0.66,-0.26,29.63
282.2,1.25,-0.66,-0.22,29.64
282.25,1.15,-0.76,-0.28,29.52
282.3,1.17,-0.72,-0.24,29.48
282.35,1.2,-0.76,-0.27,29.43
282.4,1.21,-0.67,-0.35,29.45
282.45,1.2,-0.62,-0.37,29.56
282.5,1.19,-0.65,-0.37,29.56
282.55,1.13,-0.56,-0.35,29.59
282.6,1.1,-0.54,-0.38,29.71
282.65,1.02,-0.49,-0.32,29.78
282.7,1.01,-0.59,-0.27,29.81
282.75,1.13,-0.68,-0.18,29.74
282.8,1.12,-0.69,-0.07,29.61
282.85,1.21,-0.73,0.05,29.69
282.9,1.23,-0.81,0.02,29.68
282.95,1.26,-0.77,0.03,29.65
283,1.31,-0.83,0.02,29.67
283.05,1.34,-0.84,-0.11,29.62
283.1,1.4,-0.79,0.01,29.71
283.15,1.56,-0.66,0.08,30
283.2,1.72,-0.58,0.07,30.14
283.25,1.56,-0.52,0.02,30.18
283.3,1.46,-0.52,-0.15,30.16
283.35,1.39,-0.35,-0.24,30.08
283.4,1.26,-0.4,0.22,30.04
283.45,1.29,-0.77,0.52,29.93
283.5,1.33,-0.83,0.57,30.03
283.55,1.32,-0.66,0.48,30.01
283.6,1.27,-0.56,0.49,30.07
283.65,1.3,-0.53,0.52,30.17
283.7,1.22,-0.63,0.48,30.2
283.75,1.27,-0.61,0.45,30.21
283.8,1.19,-0.54,0.31,30.18
283.85,1.39,-0.44,0.23,30.14
283.9,1.52,-0.27,0.33,30.13
283.95,1.58,-0.12,0.19,30.12
284,1.52,-0.19,0.1,30.09
284.05,1.5,-0.16,0.47,30.2
284.1,1.44,-0.26,0.87,30.24
284.15,1.55,-0.28,0.84,30.22
284.2,1.52,-0.16,0.78,30.22
284.25,1.4,-0.09,0.81,30.19
284.3,1.46,0.03,0.73,30.1
284.35,1.51,0.14,0.71,30.03
284.4,1.55,0.09,0.59,30.11
284.45,1.45,0.11,0.65,30.13
284.5,1.45,0.27,0.82,30.11
284.55,1.59,0.14,0.75,30.23
284.6,1.57,0.04,0.8,30.24
284.65,1.46,-0.09,0.94,30.35
284.7,1.38,-0.01,1.05,30.3
284.75,1.36,-0.07,1.08,30.25
284.8,1.31,-0.09,1.02,30.29
284.85,1.35,-0.15,0.9,30.33
284.9,1.27,-0.35,0.99,30.39
284.95,1.32,-0.41,0.89,30.35
285,1.29,-0.38,0.79,30.3
285.05,1.28,-0.29,0.76,30.2
285.1,1.3,-0.16,1.02,30.13
285.15,1.37,-0.21,0.99,30.06
285.2,1.38,-0.21,0.85,30.15
285.25,1.45,-0.2,0.79,30.18
285.3,1.47,-0.23,0.63,30.19
285.35,1.5,-0.2,0.56,30.24
285.4,1.42,-0.11,0.5,30.25
285.45,1.39,-0.05,0.51,30.27
285.5,1.34,0.02,0.59,30.29
285.55,1.33,-0.04,0.63,30.31
285.6,1.35,-0.05,0.64,30.27
285.65,1.33,-0.03,0.64,30.27
285.7,1.32,-0.06,0.58,30.25
285.75,1.34,-0.08,0.54,30.22
285.8,1.26,-0.06,0.69,30.24
285.85,1.3,-0.02,0.66,30.23
285.9,1.38,0.06,0.64,30.13
285.95,1.49,0.04,0.73,30.1
286,1.36,-0.07,0.75,30.12
286.05,1.31,-0.12,0.78,30.16
286.1,1.35,-0.11,0.87,30.15
286.15,1.38,-0.2,0.74,30.12
286.2,1.5,-0.2,0.7,30.11
286.25,1.57,-0.16,0.76,30.08
286.3,1.57,-0.11,0.78,30.05
286.35,1.53,-0.17,0.75,30.06
286.4,1.51,-0.14,0.76,30.05
286.45,1.45,-0.1,0.76,30.05
286.5,1.46,-0.02,0.77,30.07
286.55,1.45,-0.04,0.84,30.13
286.6,1.52,-0.03,0.94,30.11
286.65,1.69,0.11,0.78,30.06
286.7,1.72,0.26,0.71,30.08
286.75,1.71,0.33,0.78,29.92
286.8,1.66,0.4,0.9,29.73
286.85,1.74,0.35,0.82,29.78
286.9,1.72,0.38,0.77,29.69
286.95,1.79,0.26,0.8,29.72
287,1.8,0.19,0.82,29.72
287.05,1.89,0.09,0.98,29.8
287.1,2.08,0.05,1.07,29.8
287.15,2.1,0.06,1.02,29.82
287.2,2.17,0.09,1.02,29.7
287.25,2.11,0.12,0.9,29.68
287.3,2.13,0.22,0.86,29.69
287.35,2.08,0.32,0.98,29.84
287.4,2.06,0.32,1.05,29.72
287.45,2.1,0.32,1.03,29.66
287.5,2.13,0.27,1.11,29.67
287.55,2.29,0.32,1.14,29.69
287.6,2.19,0.25,1.12,29.79
287.65,1.96,0.12,1.16,29.94
287.7,2.02,0.11,1.13,29.96
287.75,1.96,-0.02,1.02,29.95
287.8,2.01,0.12,0.96,29.91
287.85,1.99,0.31,1.05,29.91
287.9,2.1,0.27,0.93,29.81
287.95,2.06,0.2,0.89,29.73
288,2.22,0.19,1.06,29.73
288.05,2.15,0.2,1.16,29.75
288.1,1.93,0.22,1.17,29.79
288.15,1.91,0.18,1.02,29.76
288.2,1.9,0.22,0.83,29.72
288.25,1.91,0.26,0.83,29.7
288.3,1.88,0.24,0.85,29.67
288.35,2.05,0.17,0.74,29.68
288.4,2.02,0.21,0.78,29.7
288.45,2.03,0.09,0.89,29.74
288.5,2.19,0.04,0.83,29.92
288.55,2.19,0.05,0.9,29.97
288.6,2.18,0.04,0.82,30.07
288.65,2.2,0.02,0.76,30.08
288.7,2.33,-0.08,0.61,30.57
288.75,2.46,0.01,0.59,30.92
288.8,2.44,0.4,0.78,30.98
288.85,2.59,0.58,0.81,30.99
288.9,2.46,0.52,0.74,31.01
288.95,2.48,0.82,1,30.84
289,2.39,0.83,1.15,30.36
289.05,2.34,0.76,1.22,30.57
289.1,2.41,0.59,1.22,31.27
289.15,2.7,0.37,1.08,31.45
289.2,2.73,0.4,1.16,31.44
289.25,2.66,0.43,1.26,31.55
289.3,2.71,0.54,1.1,31.49
289.35,2.57,0.47,1.15,31.47
289.4,2.55,0.39,1.2,31.55
289.45,2.39,0.45,1.22,31.56
289.5,2.39,0.37,1.31,30.69
289.55,2.28,-0.09,1.08,30.34
289.6,2.22,0.14,1.02,30.33
289.65,2.02,0.26,1.25,30.35
289.7,1.9,0.16,1.21,30.52
289.75,1.88,0.4,1.06,30.73
289.8,2.04,0.5,1.02,31.66
289.85,2.13,0.58,1.19,31.72
289.9,2.17,0.48,1.17,31.64
289.95,2.27,0.58,1.13,30.87
290,2.34,0.66,1,30.52
290.05,2.37,0.64,0.92,30.52
290.1,2.37,0.55,0.98,30.59
290.15,2.57,0.4,0.89,30.79
290.2,2.66,0.58,0.74,30.96
290.25,2.71,0.62,0.67,31.03
290.3,2.63,0.56,0.6,31.06
290.35,2.61,0.51,0.51,31.1
290.4,2.67,0.53,0.71,31.19
290.45,2.8,0.42,0.78,31.34
290.5,2.83,0.46,0.7,31.42
290.55,2.86,0.5,0.55,31.48
290.6,2.75,0.39,0.49,31.59
290.65,2.62,0.43,0.45,31.57
290.7,2.39,0.35,0.61,31.64
290.75,2.33,0.33,0.53,31.69
290.8,2.3,0.23,0.7,31.58
290.85,2.22,0.2,0.7,31.53
290.9,2.28,0.22,0.68,31.52
290.95,2.23,0.23,0.65,31.53
291,2.37,0.38,0.93,31.5
291.05,2.36,0.33,0.71,31.52
291.1,2.42,0.41,0.93,31.62
291.15,2.43,0.47,0.97,31.54
291.2,2.35,0.58,1,31.47
291.25,2.33,0.71,1.08,31.48
291.3,2.24,0.58,0.98,31.56
291.35,2.06,0.55,0.97,31.59
291.4,2.02,0.61,0.93,31.47
291.45,2.11,0.61,0.86,31.55
291.5,2.15,0.6,0.86,31.64
291.55,2.21,0.66,0.85,31.64
291.6,2.31,0.71,0.75,31.48
291.65,2.08,0.66,0.91,31.23
291.7,2.03,0.61,0.94,31.12
291.75,2.01,0.61,0.89,31.26
291.8,2,0.59,0.9,31.32
291.85,1.94,0.55,0.86,31.42
291.9,1.87,0.57,0.78,31.46
291.95,1.85,0.54,0.73,31.5
292,1.87,0.36,0.8,31.52
292.05,2,0.34,0.84,31.62
292.1,2.13,0.3,0.82,31.66
292.15,2.03,0.3,0.75,31.61
292.2,1.95,0.28,0.67,31.61
292.25,1.98,0.29,0.63,31.65
292.3,1.91,0.28,0.61,31.72
292.35,1.81,0.29,0.65,31.74
292.4,1.71,0.31,0.73,31.73
292.45,1.71,0.35,0.74,31.74
292.5,1.61,0.29,0.75,31.69
292.55,1.56,0.26,0.75,31.63
292.6,1.52,0.25,0.7,31.6
292.65,1.66,0.15,0.74,31.63
292.7,1.7,0.18,0.82,31.6
292.75,1.68,0.2,0.86,31.59
292.8,1.69,0.22,0.87,31.61
292.85,1.61,0.12,1,31.64
292.9,1.61,0.08,1.03,31.73
292.95,1.65,-0.01,1.17,31.75
293,1.53,-0.03,1.2,31.62
293.05,1.56,-0.08,1.09,31.43
293.1,1.41,-0.13,1,31.5
293.15,1.31,-0.08,0.98,31.62
293.2,1.24,-0.08,0.93,31.56
293.25,1.27,0,0.86,31.54
293.3,1.31,-0.02,0.83,31.56
293.35,1.37,-0.05,0.81,31.57
293.4,1.42,-0.09,0.84,31.47
293.45,1.41,-0.24,0.73,31.31
293.5,1.34,-0.12,0.81,31.58
293.55,1.3,-0.1,0.75,31.54
293.6,1.34,-0.15,0.67,31.71
293.65,1.25,-0.22,0.61,31.79
293.7,1.35,-0.25,0.58,31.88
293.75,1.3,-0.17,0.64,31.94
293.8,1.2,-0.12,0.71,31.98
293.85,1.22,-0.14,0.67,31.95
293.9,1.14,-0.09,0.73,32
293.95,1.11,-0.08,0.74,31.96
294,1.08,-0.11,0.74,31.99
294.05,1.01,-0.06,0.76,31.99
294.1,1,0.03,0.82,31.51
294.15,0.99,-0.03,0.79,31.34
294.2,0.95,-0.06,0.76,31.34
294.25,1.2,-0.29,0.63,31.45
294.3,1.58,-0.47,0.54,31.5
294.35,1.94,-0.49,0.68,30.88
294.4,2.05,-0.61,0.75,29.84
294.45,2.1,-0.56,0.67,29.84
294.5,2.07,-0.41,0.76,29.98
294.55,2.28,-0.4,0.75,30.06
294.6,2.29,-0.42,0.63,30.2
294.65,2.24,-0.44,0.51,29.37
294.7,2.3,-0.47,0.55,29.36
294.75,2.28,-0.46,0.6,29.34
294.8,2.32,-0.47,0.55,29.28
294.85,2.5,-0.41,0.57,29.34
294.9,2.51,-0.58,0.41,29.89
294.95,2.49,-0.49,0.16,30.53
295,2.74,-0.55,0.08,30.61
295.05,2.96,-0.69,-0.14,30.58
295.1,2.79,-0.67,-0.22,30.32
295.15,2.69,-0.54,-0.18,29.96
295.2,2.49,-0.68,-0.39,29.62
295.25,2.58,-0.52,-0.18,29.94
295.3,2.52,-0.6,-0.15,29.98
295.35,2.29,-0.7,-0.23,29.74
295.4,2.09,-0.85,-0.31,29.25
295.45,1.91,-0.81,-0.32,29.13
295.5,1.88,-0.8,-0.26,29.12
295.55,1.86,-0.68,-0.37,29.05
295.6,1.82,-0.67,-0.59,28.98
295.65,1.84,-0.62,-0.64,29
295.7,1.84,-0.78,-0.63,28.87
295.75,1.76,-0.85,-0.69,28.74
295.8,1.74,-0.93,-0.66,28.66
295.85,1.6,-0.83,-0.63,28.66
295.9,1.62,-0.86,-0.4,28.58
295.95,1.62,-0.85,-0.38,28.56
296,1.63,-0.85,-0.37,28.57
296.05,1.62,-0.86,-0.35,28.87
296.1,1.54,-1.03,-0.36,28.88
296.15,1.62,-1.26,-0.45,28.97
296.2,1.63,-1.3,-0.46,28.93
296.25,1.6,-1.12,-0.39,28.96
296.3,1.55,-1.11,-0.26,29.01
296.35,1.35,-1.27,-0.23,29.06
296.4,1.34,-1.21,-0.31,29.17
296.45,1.61,-1.17,-0.25,29.08
296.5,1.61,-1.11,-0.23,29.05
296.55,1.54,-1.23,-0.21,29
296.6,1.62,-1.14,-0.23,28.94
296.65,1.61,-1.08,-0.16,28.85
296.7,1.63,-0.99,0.04,28.8
296.75,1.49,-1.1,0.1,28.7
296.8,1.48,-1.08,0.09,28.62
296.85,1.6,-1.03,0.08,28.72
296.9,1.77,-1.04,0.06,28.93
296.95,1.78,-1.01,0.13,29.01
297,1.87,-0.8,0.28,28.96
297.05,2.02,-0.59,0.21,29.03
297.1,2.05,-0.36,0.36,29.08
297.15,2.17,-0.22,0.21,29.2
297.2,2.14,-0.33,0.06,29.13
297.25,2.02,-0.49,0.03,29.05
297.3,1.95,-0.3,0.16,29.09
297.35,2.01,-0.26,0.05,29.13
297.4,2.11,-0.23,0.04,29.19
297.45,2.07,-0.21,-0.07,29.09
297.5,1.98,-0.4,0.1,29.06
297.55,1.96,-0.59,0.09,29.08
297.6,1.97,-0.65,0.15,29.05
297.65,2,-0.67,0.26,29.06
297.7,2.07,-0.97,0.24,29.17
297.75,2.29,-1.17,0.18,29.18
297.8,2.32,-1.14,0.32,29.09
297.85,2.13,-1.21,0.53,29.15
297.9,2.24,-0.92,-0.1,29.22
297.95,2.41,-0.8,-0.2,29.19
298,2.33,-1.07,-0.22,28.97
298.05,2.17,-1.28,-0.31,28.7
298.1,2.06,-1.07,-0.2,28.76
298.15,2.05,-1.01,-0.15,28.88
298.2,1.94,-0.81,-0.18,28.88
298.25,1.98,-0.51,-0.14,28.97
298.3,2.01,-0.43,-0.21,28.97
298.35,2.15,-0.49,-0.11,29.13
298.4,2.41,-0.72,0.02,29.17
298.45,2.66,-0.93,-0.16,28.72
298.5,2.99,-0.75,-0.27,28.59
298.55,3.17,-0.66,-0.21,28.65
298.6,3.23,-0.72,0.04,29.02
298.65,3.25,-0.98,-0.08,29.02
298.7,3.42,-1.2,-0.39,29.02
298.75,3.65,-1.38,-0.63,29.43
298.8,3.7,-1.38,-0.57,29.65
298.85,3.72,-1.59,-0.52,29.48
298.9,3.69,-1.62,-0.85,29.06
298.95,3.63,-1.68,-0.91,29.06
299,3.66,-1.81,-0.89,29.18
299.05,3.83,-1.85,-0.9,29.32
299.1,3.85,-1.71,-0.74,28.96
299.15,4.07,-1.74,-0.39,28.75
299.2,4.06,-1.43,-0.22,28.79
299.25,4.17,-1.21,-0.16,28.84
299.3,3.81,-1.09,-0.09,28.75
299.35,3.91,-1.34,-0.15,28.85
299.4,3.91,-1.17,-0.15,28.9
299.45,3.86,-1.29,-0.08,28.9
299.5,3.73,-1.21,0.04,28.9
299.55,3.73,-1.16,0.07,29
299.6,3.58,-0.9,0.06,29.1
299.65,3.56,-0.87,0.02,29.1
299.7,3.54,-1.09,0.03,29.18
299.75,3.62,-1.12,-0.07,29.2
299.8,3.6,-1.11,-0.19,29.06
299.85,3.46,-1.06,-0.23,29.04
299.9,3.51,-0.92,-0.54,29.05
299.95,3.49,-0.97,-0.87,28.81
300,3.12,-1.31,-1.07,28.89
300.05,3.16,-1.17,-1.31,29
300.1,3.33,-0.84,-1.21,29.08
300.15,3.84,-0.81,-1.34,29.01
300.2,4.27,-0.76,-0.7,28.91
300.25,4.14,-0.51,-0.33,28.84
300.3,4.14,-0.66,-0.5,28.88
300.35,4.26,-1.21,-0.46,28.85
300.4,4.23,-1.32,-0.77,29.04
300.45,3.92,-1.2,-0.89,29.06
300.5,3.97,-1,-0.59,29.02
300.55,3.81,-0.92,-0.46,29.06
300.6,3.81,-1.1,-0.59,29.03
300.65,3.76,-1.19,-0.42,29.07
300.7,3.85,-1.11,-0.44,29.09
300.75,4.01,-1.03,-0.6,28.96
300.8,3.98,-1.07,-0.58,28.98
300.85,3.94,-1.12,-0.45,29.09
300.9,3.81,-1.13,-0.32,29.1
300.95,3.84,-0.99,-0.43,29.08
301,3.87,-1.14,-0.45,29.15
301.05,3.71,-1.15,-0.48,29.26
301.1,4.04,-1.19,-0.53,29.17
301.15,4.41,-1.35,-0.6,28.84
301.2,4.76,-2.05,-0.55,29
301.25,4.72,-2.12,-0.43,29.12
301.3,4.9,-1.76,-0.2,29.14
301.35,4.65,-1.75,-0.34,29.17
301.4,4.6,-1.03,0.01,29.26
301.45,4.35,-1.09,-0.28,29.26
301.5,3.97,-1.07,-0.41,29.07
301.55,4.1,-1.23,-0.33,29.14
301.6,4.22,-1.4,-0.42,29.06
301.65,3.77,-1.37,-0.78,29.06
301.7,3.48,-1.2,-0.66,29.08
301.75,3.25,-1.1,-0.43,29.11
301.8,3.34,-0.77,-0.28,29.27
301.85,3.38,-0.65,-0.26,29.36
301.9,3.23,-0.74,-0.21,29.35
301.95,3.15,-0.63,-0.23,29.34
302,3.14,-0.58,-0.23,29.37
302.05,3.04,-0.55,-0.27,29.35
302.1,2.9,-0.6,-0.28,29.34
302.15,3.01,-0.41,-0.17,29.34
302.2,2.9,-0.4,-0.05,29.35
302.25,3.08,-0.46,0.2,29.34
302.3,2.95,-0.44,0.28,29.31
302.35,2.77,-0.68,0.34,29.33
302.4,2.82,-0.65,0.14,29.34
302.45,2.89,-0.59,0.05,29.28
302.5,2.97,-0.63,-0.06,29.29
302.55,2.98,-0.72,-0.08,29.26
302.6,3.16,-0.76,-0.15,29.22
302.65,3.36,-0.8,-0.14,29.25
302.7,3.16,-0.78,0.07,29.21
302.75,3.23,-0.85,0.04,29.24
302.8,3.11,-0.6,-0.04,28.97
302.85,3.02,-0.64,-0.12,28.8
302.9,2.87,-0.73,-0.02,28.9
302.95,2.73,-0.77,0.09,29.26
303,2.57,-0.75,0.19,29.35
303.05,2.62,-0.77,0.04,29.24
303.1,2.46,-0.75,-0.08,29.16
303.15,2.34,-0.82,-0.07,29.16
303.2,2.33,-0.91,-0.03,29.12
303.25,2.3,-0.94,-0.2,29.05
303.3,2.32,-0.86,-0.3,28.94
303.35,2.54,-0.89,-0.44,28.9
303.4,2.53,-0.84,-0.52,28.76
303.45,2.55,-0.77,-0.6,28.55
303.5,2.69,-0.73,-0.44,28.62
303.55,2.83,-0.66,-0.31,29.37
303.6,3.02,-0.26,-0.26,29.32
303.65,3.14,-0.2,0.17,29.42
303.7,2.88,0.37,-0.06,29.56
303.75,2.83,0.38,0.27,29.67
303.8,3.21,0.17,0.23,29.66
303.85,3.23,-0.24,0.17,29.63
303.9,3.22,-0.4,0.25,29.52
303.95,3.46,-0.32,0.47,29.51
304,3.46,-0.14,0.55,29.63
304.05,3.3,-0.07,0.58,29.54
304.1,3.4,0.17,0.47,29.24
304.15,3.37,-0.38,0.22,29.34
304.2,3.58,-0.07,0.34,29.24
304.25,3.65,-0.06,0.42,29.57
304.3,3.55,-0.03,0.58,30.11
304.35,3.51,-0.07,0.62,30.21
304.4,3.45,0.09,0.49,30.23
304.45,3.52,0.05,0.83,30.21
304.5,3.43,-0.05,1.11,30.67
304.55,3.38,0.04,1.14,30.43
304.6,3.22,0.06,0.96,29.96
304.65,3.31,0.15,0.73,29.51
304.7,3.44,0.05,1.01,29.4
304.75,3.33,-0.06,1.16,29.73
304.8,3.28,0.04,1.06,29.32
304.85,3.46,-0.08,1.07,28.93
304.9,3.4,-0.27,1.16,29.24
304.95,3.31,-0.41,1.11,29.17
305,3.27,-0.3,1.06,29.15
305.05,3.31,-0.57,1.32,29.13
305.1,3.53,-0.6,1.5,29.11
305.15,3.73,-0.49,1.29,29.29
305.2,3.74,-0.45,0.99,29.31
305.25,3.81,-0.85,0.53,29.26
305.3,3.9,-0.69,0.08,29.22
305.35,3.97,-0.76,-0.13,29.24
305.4,3.96,-0.73,-0.25,29.37
305.45,3.99,-1.01,-0.27,29.38
305.5,3.89,-1.28,-0.24,29.35
305.55,3.75,-1.54,-0.19,29.33
305.6,3.78,-1.39,-0.35,29.27
305.65,3.64,-1.04,-0.07,29.18
305.7,3.91,-0.66,-0.92,29.24
305.75,4.07,-0.78,-0.96,29.22
305.8,3.89,-1.15,-0.87,29.23
305.85,3.91,-1.14,-0.84,29.24
305.9,3.75,-0.79,-1.09,29.23
305.95,3.47,-0.71,-0.76,29.2
306,3.28,-0.69,-0.61,29.19
306.05,3.05,-0.63,-0.5,29.19
306.1,3.1,-0.94,-0.51,29.22
306.15,3.26,-0.92,-0.48,29.21
306.2,3.31,-0.98,-0.33,29.21
306.25,3.39,-1.02,-0.22,29.17
306.3,3.31,-1.06,-0.42,29.17
306.35,3.06,-1.04,-0.53,29.23
306.4,2.77,-0.93,-0.71,29.24
306.45,2.97,-0.91,-0.76,29.25
306.5,3.12,-0.92,-0.6,29.2
306.55,3.42,-0.72,-0.3,29.12
306.6,3.41,-0.43,-0.27,28.93
306.65,3.58,-0.65,-0.35,28.78
306.7,3.72,-0.76,-0.51,28.74
306.75,3.57,-0.89,-0.57,28.73
306.8,3.47,-0.7,-0.6,28.55
306.85,3.51,-0.53,-0.55,28.34
306.9,3.57,-0.58,-0.56,28.35
306.95,3.67,-0.52,-0.64,28.4
307,3.55,-0.58,-0.62,28.43
307.05,3.51,-0.55,-0.55,28.4
307.1,3.54,-0.44,-0.56,28.32
307.15,3.52,-0.42,-0.62,28.51
307.2,3.62,-0.59,-0.64,28.81
307.25,3.59,-0.63,-0.54,28.83
307.3,3.55,-0.67,-0.49,28.71
307.35,3.49,-0.7,-0.51,28.66
307.4,3.45,-0.63,-0.47,28.65
307.45,3.51,-0.55,-0.54,28.81
307.5,3.53,-0.55,-0.58,28.71
307.55,3.55,-0.62,-0.48,28.6
307.6,3.56,-0.7,-0.44,28.5
307.65,3.38,-0.62,-0.46,28.52
307.7,3.29,-0.64,-0.4,28.55
307.75,3.49,-0.88,-0.42,28.65
307.8,3.56,-0.77,-0.34,28.67
307.85,3.58,-0.74,-0.23,28.63
307.9,3.61,-0.81,-0.19,28.71
307.95,3.62,-0.71,-0.1,28.64
308,3.58,-0.61,-0.1,28.56
308.05,3.6,-0.64,-0.2,28.55
308.1,3.49,-0.66,-0.07,28.52
308.15,3.38,-0.54,0.05,28.55
308.2,3.39,-0.55,0.08,28.58
308.25,3.39,-0.5,0.07,28.6
308.3,3.43,-0.48,0.04,28.61
308.35,3.36,-0.52,0.2,28.57
308.4,3.38,-0.56,0.32,28.6
308.45,3.49,-0.76,0.43,28.76
308.5,3.12,-1.16,0.27,28.84
308.55,2.93,-1.64,-0.24,28.76
308.6,2.96,-1.54,-0.43,28.79
308.65,3.12,-1.44,-0.5,28.78
308.7,3.21,-1.28,-0.79,28.79
308.75,3.27,-1.25,-0.53,28.75
308.8,3.26,-1.22,-0.34,28.8
308.85,3.24,-1.18,-0.47,28.83
308.9,3.11,-1.12,-0.5,28.92
308.95,2.93,-1.21,-0.43,28.91
309,2.89,-1.32,-0.55,28.99
309.05,2.8,-1.46,-0.67,29.09
309.1,2.83,-1.31,-0.9,29.03
309.15,2.84,-1.25,-0.98,29.1
309.2,2.87,-1.45,-0.84,29.33
309.25,2.83,-1.63,-0.48,29.43
309.3,2.58,-1.63,-0.34,29.43
309.35,2.31,-1.38,-0.14,29.3
309.4,2.16,-1.39,-0.24,29.46
309.45,2.23,-1.26,-0.23,29.38
309.5,2.29,-1.25,-0.03,29.33
309.55,2.11,-1.32,0.07,29.39
309.6,2.12,-1.24,0.09,29.49
309.65,2.04,-1.24,0.09,29.5
309.7,2.1,-1.24,0.06,29.56
309.75,2.32,-1.3,0.07,29.27
